company_name,cin,url,company_status,registered_address,paid_up_capital,query_text
SREI EQUIPMENT FINANCE LIMITED,U70101WB2006PLC109898,https://nclt.gov.in/gen_pdf.php?filepath=%2FEfile_Document%2Fncltdoc%2Fcasedoc%2F1908134018772023%2F04%2FOrder-Challenge%2F04_order-Challange_004_168896654816511985964ab95940ec21.pdf,Active,"Vishwakarma, 86C, Topsia Road, Kolkata-700046, West Bengal",116926820600,manual seed from NCLT Kolkata
SHREE PADMAWATI METALIKS PRIVATE LIMITED,U27106WB2003PTC096505,https://ibbi.gov.in/uploads/order/152ccf6928474ee04cfe62ea8283b0d0.pdf,CIRP admitted,"35 CHITTARANJAN AVENUE, 5TH FLOOR,,KOLKATA,West Bengal,700012-India",71400000,manual seed from IBBI order
ARCUTTIPORE TEA CO LTD,L15491WB1900PLC000220,https://nclt.gov.in/gen_pdf.php?filepath=%2FEfile_Document%2Fncltdoc%2Fcasedoc%2F1908134047222022%2F04%2FOrder-Challenge%2F04_order-Challange_004_17026429121215034643657c44e0ce9fe.pdf,CIRP admitted,"MMS CHAMBERS, 4A COUNCIL HOUSE STREET,   KOLKATA -700001,KOLKATA,Kolkata,West Bengal,700001-India",53083650,manual seed from NCLT Kolkata
AMRIT HATCHERIES PRIVATE LIMITED,U01409WB1998PTC088048,https://www.credhive.in/ind/corporate/U01409WB1998PTC088048/AMRIT%20HATCHERIES%20PRIVATE%20LIMITED/management,Under Liquidation,"158  LENIN SARANI  3RD FLOOR,KOLKATA,West Bengal,700013-India",400723000,manual seed from IBBI corporate processes + CredHive
REACON ENGINEERS (INDIA) PVT LTD,U45201WB1988PTC045417,https://ibbi.gov.in/uploads/auction_notice_liquidation/9878ddcaec187da2445601e3ee17959d.pdf,In Liquidation,"227, Kamalalaya Centre, 156A Lenin Sarani, Kolkata, West Bengal, India, 700013",90182200,manual seed from IBBI auction notice
MADHUSALA DRINKS PVT.LTD.,U15520WB1991PTC052155,https://ibbi.gov.in/uploads/auction_notice_liquidation/2b68dd474468133d88b1d9c3b60ef5e3.pdf,In Liquidation,PLOT NO.1-S BUDGE BUDGE INDUSTRIAL ESTATE PUJALI WB 700138,56460000,manual seed from IBBI auction notice
GEMUS ENGINEERING LTD,U27109WB1996PLC081038,https://ibbi.gov.in/uploads/auction_notice_liquidation/a8e91cf59f0da252d17f5ab6a35ca9f6.pdf,In Liquidation,"E/3/4, Gillander House, 8, NS Road, Kolkata-700001, WB",36327100,manual seed from IBBI auction notice
EPITOME PETROCHEMICAL PRIVATE LIMITED,U24249WB2007PTC117196,https://www.globalbizreport.com/EPITOME-PETROCHEMICAL-PRIVATE-LIMITED/U24249WB2007PTC117196/india/west_bengal/company-business-financial-credit-report,Under Liquidation,"7 PRAFULLA SARKAR STREET,KOLKATA,West Bengal,700013-India",33740000,manual seed from IBBI auction notice + GlobalBizReport
CAPITAL ELECTRONICS AND APPLIANCES LIMITED,U31901WB2006PLC110699,https://www.zaubacorp.com/CAPITAL-ELECTRONICS-AND-APPLIANCES-LIMITED-U31901WB2006PLC110699,Under CIRP,"P-161, VIP ROAD, P.S. MANICK-TALA, KOL-700054, TALA, KOL-700054, West Bengal, India - 000000",33348410,manual seed from NCLT Kolkata / IBBI + Zauba
SUBHLABH STEELS PRIVATE LIMITED,U27109WB1991PTC052566,https://ibbi.gov.in/uploads/order/9040e459578704b0cf20ad47b5fec986.pdf,Under Liquidation,"Room No. 202, 1, British Indian Street, Kolkata, West Bengal 700069",20959500,manual seed from IBBI insolvency order
NAMAN ISPAT PRIVATE LIMITED,U27109WB2005PTC101589,https://nclt.gov.in/gen_pdf.php?filepath=%2FEfile_Document%2Fncltdoc%2Fcasedoc%2F1908134018622021%2F04%2FOrder-Challenge%2F04_order-Challange_004_16681676371800871537636e37d54cf3d.pdf,Under Liquidation,"235/2A, AJC Bose Road, Kolkata-700020, West Bengal",9736000,manual seed from NCLT Kolkata
TOSHNIWAL ENTERPRISES CONTROLS LIMITED,U51420WB1991PLC053374,https://ibbi.gov.in/uploads/auction_notice_liquidation/5c8e994e29193bda94cc1ec988d0fa18.pdf,In Liquidation,"1A, Akrur Datta Lane, Kolkata 700012, WB",9351040,manual seed from IBBI auction notice
SURINA IMPEX PRIVATE LIMITED,U51909WB2005PTC102526,https://ibbi.gov.in/uploads/auction_notice_liquidation/c7611c53821a7c4a169baa9425803165.pdf,In Liquidation,"P.O. NARAYANPUR, MOUZA - NARAYANPUR BAGHBARI   DAG NO. 927131, SOUTH 24 PARGANAS,NARAYANPUR,West Bengal,743502-India",7846750,manual seed from IBBI auction notice
BARD ROY INFOTECH PVT LTD,U72200WB1995PTC075654,https://www.indiafilings.com/search/bard-roy-infotech-pvt-ltd-cin-U72200WB1995PTC075654,Under Liquidation,"10/4B LALA LAJPAT RAI SARANI,   PS BHAWANI PORE(ELGIN RD.),KOLKATA,West Bengal,700020-India","53,00,000",manual seed from IBBI corporate processes + IndiaFilings
DEV R NIL DESIGN PRIVATE LIMITED,U74900WB2014PTC204686,https://ibbi.gov.in/uploads/auction_notice_liquidation/337ad39ad29e6f7241ca50148c4720a5.pdf,In Liquidation,"42P, Raja Santosh Road, Kolkata – 700027, West Bengal",1000000,manual seed from IBBI auction notice
RLA HOLDINGS PVT LTD,U65923WB1992PTC056477,https://www.tofler.in/rla-holdings-pvt-ltd/company/U65923WB1992PTC056477,Dissolved (Liquidated),545 G T ROAD (5)4TH FLOOR R NO 408 HOWRAH West Bengal - 711101,INR ₹ 93.1 L,manual seed from IBBI dissolution order + Tofler
LTS PLASTICS (INDIA) PRIVATE LIMITED,U25209WB1997PTC085891,https://www.zaubacorp.com/LTS-PLASTICS-INDIA-PRIVATE-LIMITED-U25209WB1997PTC085891,Dissolved under section 54,"KAIKHALI CHIRIAMOREPO-R- GOPALPUR , 24 PARGANAS (N), West Bengal, India - 743518",14652500,manual seed from IBBI dissolution order + Zauba
SANMATI DISTRIBUTORS PRIVATE LIMITED,U51102WB2005PTC101265,https://cleartax.in/f/company/sanmati-distributors-private-limited/U51102WB2005PTC101265/,Dissolved under section 54,52 WESTON STREET KOLKATA WB IN 700012,8990000,manual seed from IBBI dissolution order + ClearTax
TRIPURARI PROPERTIES PRIVATE LIMITED,U70109WB2008PTC125328,https://www.globalbizreport.com/TRIPURARI-PROPERTIES-PRIVATE-LIMITED/U70109WB2008PTC125328/india/west_bengal/company-business-financial-credit-report,Dissolved under section 54,"4, Dr. Rajendra Prasad Sarani, 3rd Floor, Room No. 303, Kolkata, West Bengal, 700001, India",4409500,manual seed from IBBI auction notice + GlobalBizReport
SHIVSHANKAR NIWAS PRIVATE LIMITED,U45400WB2013PTC195696,https://ibbi.gov.in/uploads/order/070b1bcd3f5e1dd8b3f596005950df14.pdf,Voluntary liquidation,"61, B.L. Saha Road, Block-H2A, Flat-10F, Kolkata, West Bengal 700053",4996000,manual seed from IBBI voluntary liquidation order
SHREE HANUMAN REALCON PRIVATE LIMITED,U45208WB2008PTC123686,https://nclt.gov.in/gen_pdf.php?filepath=%2FEfile_Document%2Fncltdoc%2Fcasedoc%2F1908134046072022%2F04%2FOrder-Challenge%2F04_order-Challange_004_16818105731654944660643e648d76827.pdf,In Voluntary Liquidation; dissolved,"100/75 Bhagwati Colony, Flat No. B, Jessore Road, Dum Dum, Kolkata, West Bengal 700074, India",2268000,manual seed from NCLT Kolkata
KOLKATA ELECTRONICS PRIVATE LIMITED,U31908WB2015PTC204776,https://www.zaubacorp.com/KOLKATA-ELECTRONICS-PRIVATE-LIMITED-U31908WB2015PTC204776,Under process of striking off,"1, VIDYASAGAR SARANI SILPARA BUSKET BALL GROUND, BEHALA, KOLKATA, West Bengal, India - 700008",6004940,manual seed from IBBI corporate processes + Zauba
EMC LIMITED,U31901WB1953PLC021044,https://cleartax.in/f/company/emc-limited/U31901WB1953PLC021044/,Active,"""CONSTANTIA OFFICE COMPLEX"", (SOUTH BLOCK), 8TH FLOOR, 11, DR. U.N. BRAHMACHARI STREET KOLKATA WB IN 700017",483350000.00,manual seed from NCLT Kolkata liquidation order + ClearTax
SURSADHNA COMMERCIAL PVT LTD,U51905WB2006PTC108663,https://nclt.gov.in/gen_pdf.php?filepath=%2FEfile_Document%2Fncltdoc%2Fcasedoc%2F1908134034642023%2F04%2FOrder-Challenge%2F04_order-Challange_004_1692966011159839708764e89c7b9ec02.pdf,Amalgamated,"11 Clive Row, 3rd Floor, Room No. 2B, Kolkata WB 700001 IN",8127630,manual seed from NCLT Kolkata CAA
TRIMURTI COAL SUPPLY PVT.LTD.,U23109WB1995PTC074047,https://nclt.gov.in/gen_pdf.php?filepath=%2FEfile_Document%2Fncltdoc%2Fcasedoc%2F1908134034642023%2F04%2FOrder-Challenge%2F04_order-Challange_004_1692966011159839708764e89c7b9ec02.pdf,Amalgamated,"18, N. S. Road, 2nd Floor, Kolkata WB 700001 IN",1953000,manual seed from NCLT Kolkata CAA
M.S GRAPHICS PVT. LTD.,U22219WB1991PTC052177,https://nclt.gov.in/gen_pdf.php?filepath=%2FEfile_Document%2Fncltdoc%2Fcasedoc%2F1908134012732022%2F04%2FOrder-Challenge%2F04_order-Challange_004_170323697415121387276585556e6f831.pdf,Active,"Kolkata, West Bengal – 700001",30500000,manual seed from NCLT Kolkata
JAI AMBEY METALS PRIVATE LIMITED,U27109WB2004PTC099889,https://www.indiafilings.com/search/jai-ambey-metals-private-limited-cin-U27109WB2004PTC099889,Active,G T ROADPANAGARH BAZAR BURDWAN WB 713148 IN,"2,60,72,000",manual seed from NCLT Kolkata + IndiaFilings
ANUSANDHAN COMMOTRADE PVT.LTD.,U51109WB1995PTC074099,https://nclt.gov.in/gen_pdf.php?filepath=%2FEfile_Document%2Fncltdoc%2Fcasedoc%2F1908134034642023%2F04%2FOrder-Challenge%2F04_order-Challange_004_1692966011159839708764e89c7b9ec02.pdf,Active,"11 Clive Row, 3rd Floor, Room No. 2B, Kolkata WB 700001 IN",14356360,manual seed from NCLT Kolkata CAA
SAMPARK LAND AND BUILDERS PRIVATE LIMITED,U70109WB2011PTC157021,https://ibbi.gov.in/claims/inner-process/U70109WB2011PTC157021,CIRP,"P-535, RAJA BASANT ROY ROAD   1ST FLOOR,KOLKATA,Kolkata,West Bengal,700029-India",350000,manual seed from IBBI corporate processes
SURYODAYA REALTORS PRIVATE LIMITED,U70109WB2011PTC157779,https://ibbi.gov.in/uploads/order/61f7ffbd99a2cc2790bcde7b0f703bc6.pdf,Active,"P-535 (1st Floor), Raja Basant Roy Road, Kolkata - 700029, West Bengal",150000,manual seed from IBBI / NCLT order
HIRANMAYE ENERGY LIMITED,U40105WB2008PLC125220,https://www.data.gov.in/resource/registrars-companies-roc-wise-company-master-data,Under CIRP,"PLOT X 1, 2&3, 2ND FLOOR, BLOCK-EP, SECTOR-V,SALT LAKE,Kolkata,West Bengal,700091-India",5118246100,priority seed from uploaded WB master data; status=Under CIRP; listing=Unlisted
DARJEELING ORGANICTEA ESTATES PRIVATE LIMITED.,U01132WB2009PTC131897,https://www.data.gov.in/resource/registrars-companies-roc-wise-company-master-data,Under CIRP,"C/o Regus Grandeur Offices Private Limited,PS   Arcadia,9th Floor,4A Abanindra Nath Thak,ur Sarani,Kolkata,Kolkata,West Bengal,700016-India",4620056140,priority seed from uploaded WB master data; status=Under CIRP; listing=Unlisted
ANKIT METAL & POWER LIMITED,L27101WB2002PLC094979,https://www.data.gov.in/resource/registrars-companies-roc-wise-company-master-data,Under CIRP,"35, CHITTARANJAN AVENUE,KOLKATA,Kolkata,West Bengal,700012-India",1411105000,priority seed from uploaded WB master data; status=Under CIRP; listing=Listed
AVANI PROJECTS AND INFRASTRUCTURE LIMITED,U45201WB2005PLC102702,https://www.data.gov.in/resource/registrars-companies-roc-wise-company-master-data,Under CIRP,"59A, CHOWRINGHEE ROAD,KOLKATA,Kolkata,West Bengal,700020-India",994305000,priority seed from uploaded WB master data; status=Under CIRP; listing=Unlisted
IMPEX FERRO TECH LTD,L27101WB1995PLC071996,https://www.data.gov.in/resource/registrars-companies-roc-wise-company-master-data,Under CIRP,"35, C.R. AVENUE,   4TH FLOOR,,KOLKATA,West Bengal,700013-India",879316000,priority seed from uploaded WB master data; status=Under CIRP; listing=Listed
R.P.INFO SYSTEMS LIMITED,U72200WB2005PLC101512,https://www.data.gov.in/resource/registrars-companies-roc-wise-company-master-data,Under CIRP,"20/1 C LAL BAZAR STREET2ND FLOOR,KOLKATA,West Bengal,700001-India",515814000,priority seed from uploaded WB master data; status=Under CIRP; listing=Unlisted
MAXGROW OVERSEAS LIMITED,U51909WB2008PLC128225,https://www.data.gov.in/resource/registrars-companies-roc-wise-company-master-data,Under CIRP,"Natural Height Complex,1C, Building No. 5   Phase I, VIP Road, Opp. Haldiram (Air Po,rt),Kolkata,Kolkata,West Bengal,700052-India",450000000,priority seed from uploaded WB master data; status=Under CIRP; listing=Unlisted
JUPITAR SPUN PIPES & CASTING PRIVATE LIMITED,U27310WB1999PTC089915,https://www.data.gov.in/resource/registrars-companies-roc-wise-company-master-data,Under CIRP,"KB-21, 3RD FLOOR   SALT LAKE CITY,KOLKATA,Kolkata,West Bengal,700098-India",364026000,priority seed from uploaded WB master data; status=Under CIRP; listing=Unlisted
KAIZEN POWER LIMITED,U45300WB2007PLC117195,https://www.data.gov.in/resource/registrars-companies-roc-wise-company-master-data,Under CIRP,"FE-83, SECTOR-III   SALT LAKE CITY, GROUND FLOOR,KOLKATA,Kolkata,West Bengal,700106-India",286560000,priority seed from uploaded WB master data; status=Under CIRP; listing=Unlisted
SAUMYA MINING LIMITED,U51102WB1996PLC203543,https://www.data.gov.in/resource/registrars-companies-roc-wise-company-master-data,Under CIRP,"BJ-311, SECTOR - II   SALT LAKE CITY,KOLKATA,Kolkata,West Bengal,700091-India",237026660,priority seed from uploaded WB master data; status=Under CIRP; listing=Unlisted
BARNAPARICHAY BOOK-MALL PRIVATE LIMITED,U74994WB2007PTC115564,https://www.data.gov.in/resource/registrars-companies-roc-wise-company-master-data,Under CIRP,"83, COLLEGE STREET,KOLKATA,West Bengal,700007-India",235100000,priority seed from uploaded WB master data; status=Under CIRP; listing=Unlisted
UNIWORTH TEXTILES LIMITED,L17299WB1992PLC055442,https://www.data.gov.in/resource/registrars-companies-roc-wise-company-master-data,Under CIRP,"RAWDON CHAMBERS, 11A SAROJINI NAIDU SARANI   4TH FLOOR, UNIT 4B,KOLKATA,Kolkata,West Bengal,700017-India",228250000,priority seed from uploaded WB master data; status=Under CIRP; listing=Listed
SRI BALAJI LOGS PRODUCTS PRIVATE LIMITED,U02001WB1997PTC085858,https://www.data.gov.in/resource/registrars-companies-roc-wise-company-master-data,Under CIRP,"67/22   STRAND ROAD,KOLKATA,Kolkata,West Bengal,700006-India",226532100,priority seed from uploaded WB master data; status=Under CIRP; listing=Unlisted
JAGDAMBA INDUSTRIES LIMITED,U65999WB1993PLC058944,https://www.data.gov.in/resource/registrars-companies-roc-wise-company-master-data,Under CIRP,"8/C M D ROAD  4TH FLOORSUIT NO 15,KOLKATA,West Bengal,700007-India",225058100,priority seed from uploaded WB master data; status=Under CIRP; listing=Unlisted
E VILLAGE KENDRA LIMITED,U67190WB2002PLC095455,https://www.data.gov.in/resource/registrars-companies-roc-wise-company-master-data,Under CIRP,"29/1B DR. AMBEDKAR SARANI,KOLKATA,Kolkata,West Bengal,700046-India",217500000,priority seed from uploaded WB master data; status=Under CIRP; listing=Unlisted
KOHINOOR STEEL PRIVATE LIMITED,U27109WB2005PTC101723,https://www.data.gov.in/resource/registrars-companies-roc-wise-company-master-data,Under CIRP,"16A,EVEREST HOUSE   46C,JAWAHARLAL NEHRU ROAD,KOLKATA,West Bengal,700071-India",202980200,priority seed from uploaded WB master data; status=Under CIRP; listing=Unlisted
VINILOK SOLUTIONS PRIVATE LIMITED,U74999WB2012PTC174552,https://www.data.gov.in/resource/registrars-companies-roc-wise-company-master-data,Under CIRP,"Vinilok Solutions Private Limited C/o Twenty One Century Studio Facility Private Limited, 5th Floor Acropolis Mall,,1858/1, Rajdanga Main Road, Sector 1, East Kolkata Township,,Kolkata,Kolkata,West Bengal,700107-India",201300000,priority seed from uploaded WB master data; status=Under CIRP; listing=Unlisted
SUPREME & COMPANY PRIVATE LIMITED,U24116WB1978PTC031466,https://www.data.gov.in/resource/registrars-companies-roc-wise-company-master-data,Under CIRP,"53, JUSTICE CHANDRA MADHAV ROAD,KOLKATA,Kolkata,West Bengal,700020-India",196065890,priority seed from uploaded WB master data; status=Under CIRP; listing=Unlisted
R S I PRIVATE LIMITED,U51909WB1958PTC023703,https://www.data.gov.in/resource/registrars-companies-roc-wise-company-master-data,Under CIRP,"138, BIPLABI RASH BEHARI BASU ROAD,KOLKATA,Kolkata,West Bengal,700001-India",188095000,priority seed from uploaded WB master data; status=Under CIRP; listing=Unlisted
SREI MUTUAL FUND ASSET MANAGEMENT PRIVATE LIMITED,U74110WB2009PTC139801,https://www.data.gov.in/resource/registrars-companies-roc-wise-company-master-data,Active,"'VISHWAKARMA'   86C TOPSIA ROAD (SOUTH),KOLKATA,West Bengal,700046-India",185000000,priority seed from uploaded WB master data; status=Active; listing=Unlisted
SHREE HANUMAN SUGAR & INDUSTRIES LTD,L15432WB1932PLC007276,https://www.data.gov.in/resource/registrars-companies-roc-wise-company-master-data,Under CIRP,"PREMISES NO. 9 GROUND FLOOR, VASUNDHARA BUILDING   2/7 SARAT BOSE ROAD,KOLKATA,Kolkata,West Bengal,700020-India",185000000,priority seed from uploaded WB master data; status=Under CIRP; listing=Listed
